depth,d18O,age
105.05,-49.78,2.61365
105.6,-50.29,2.6317999999999997
106.15,-50.47,2.64995
106.7,-51.01,2.6681
107.25,-50.5,2.68625
107.8,-51.27,2.7043999999999997
108.35,-49.59,2.7221999999999995
108.9,-49.89,2.7398000000000002
109.45,-49.91,2.7569500000000002
110.0,-49.9,2.774
110.55,-50.48,2.7904999999999998
111.1,-49.63,2.8069999999999995
111.65,-49.79,2.8235
112.2,-49.59,2.8398000000000003
112.75,-50.5,2.85575
113.3,-51.17,2.8723
113.85,-51.6,2.88935
114.4,-50.09,2.9072000000000005
114.95,-50.42,2.9253500000000003
115.5,-50.77,2.943
116.05,-51.24,2.9606
116.6,-50.58,2.9781999999999997
117.15,-51.07,2.9961
117.7,-50.71,3.0148
118.25,-50.57,3.03325
118.8,-50.64,3.0513999999999997
119.35,-50.18,3.0691999999999995
119.9,,3.0868
120.45,-49.46,3.1035
121.0,-51.71,3.12
121.55,-51.17,3.1376
122.1,-51.64,3.1555
122.65,-50.18,3.17475
123.2,-51.2,3.194
123.75,-51.98,3.21325
124.3,-50.28,3.2321999999999997
124.85,-51.09,3.2508999999999997
125.4,-51.41,3.2692
125.95,-50.03,3.2873500000000004
126.5,-50.99,3.306
127.05,-51.75,3.3246499999999997
127.6,-50.66,3.3427999999999995
128.15,-50.85,3.36125
128.7,-50.88,3.3804999999999996
129.25,-50.72,3.399
129.8,-50.53,3.4166000000000003
130.35,-50.31,3.4341999999999997
130.9,-51.5,3.4518000000000004
131.45,-49.7,3.46895
132.0,-50.46,3.486
132.55,-50.91,3.5041500000000005
133.1,-50.56,3.5223
133.65,-51.01,3.5404500000000003
134.2,-49.88,3.5584
134.75,-49.96,3.576
135.3,-50.42,3.5933000000000006
135.85,-50.02,3.61035
136.4,-49.99,3.6274
136.95,-51.44,3.6444499999999995
137.5,-49.54,3.662
138.05,-49.63,3.6796
138.6,-51.79,3.6971999999999996
139.15,-49.7,3.7145
139.7,-50.65,3.731
140.25,-50.22,3.748
140.8,-51.32,3.7656
141.35,-51.31,3.7842499999999997
141.9,-49.93,3.8035
142.45,-50.61,3.8227499999999996
143.0,-50.85,3.842
143.55,-50.62,3.8601500000000004
144.1,-50.85,3.8783999999999996
144.65,-50.18,3.8971
145.2,-51.14,3.9159999999999995
145.75,-51.07,3.93525
146.3,-49.91,3.9545000000000003
146.85,-49.97,3.97375
147.4,-51.36,3.9930000000000003
147.95,-49.67,4.01225
148.5,-49.82,4.031000000000001
149.05,-50.82,4.0497000000000005
149.6,-50.75,4.0684
150.15,-50.31,4.08725
150.7,-50.03,4.1065
151.25,-51.83,4.12625
151.8,-49.96,4.1466
152.35,-49.49,4.16625
152.9,-50.47,4.1855
153.45,-49.4,4.203399999999999
154.0,-50.86,4.221
154.55,-51.31,4.2402500000000005
155.1,-50.46,4.2595
155.65,-50.22,4.2787500000000005
156.2,-50.45,4.2978
156.75,-50.83,4.3165000000000004
157.3,-51.17,4.3352
157.85,-50.23,4.353899999999999
158.4,-49.51,4.3726
158.95,-50.86,4.391299999999999
159.5,-50,4.409
160.05,-51.07,4.4268
160.6,-50.86,4.4466
161.15,-51.23,4.466550000000001
161.7,-50.44,4.4868999999999994
162.25,-50.41,4.507
162.8,-49.99,4.526800000000001
163.35,-50.88,4.5459
163.9,-50.64,4.5645999999999995
164.45,-50.62,4.584199999999999
165.0,-50.72,4.604
165.55,-49.84,4.6232500000000005
166.1,-50.91,4.6426
166.65,-51.38,4.6624
167.2,-50.85,4.6823999999999995
167.75,-50.82,4.70275
168.3,-51.24,4.7228
168.85,-50.73,4.7426
169.4,-49.94,4.7624
169.95,-50.38,4.7822
170.5,-50.53,4.801
171.05,-50.49,4.8197
171.6,-50.14,4.8384
172.15,-49.86,4.857100000000001
172.7,-50.93,4.8758
173.25,-51,4.89475
173.8,-50.54,4.914000000000001
174.35,-50.67,4.93395
174.9,-50.24,4.954300000000001
175.45,-51.33,4.97465
176.0,-50.47,4.995
176.55,-50.56,5.0148
177.1,-50.12,5.0344999999999995
177.65,-50.04,5.05375
178.2,-50.05,5.0725999999999996
178.75,-50.35,5.09075
179.3,-50.77,5.1092
179.85,-50.56,5.1278999999999995
180.4,-51.75,5.1482
