x,bed,surface,u_sur
0.0,124.01284331084607,2506.847975728721,0.3507494985930958
1000.0,123.79307225508857,2507.125757266154,0.3514255603611142
2000.0,123.41754994444966,2507.668116101997,0.35277389436649764
3000.0,123.00527770536591,2508.4502640036326,0.354790468431622
4000.0,122.71456634290489,2509.438921250728,0.3574648740377287
5000.0,122.72395140182044,2510.596146719653,0.36078628818213165
6000.0,123.21219391456175,2511.883311747671,0.36473972212455474
7000.0,124.34080117037043,2513.2645311643587,0.3693082589371786
8000.0,126.24060279147565,2514.7091946528362,0.3744721171474579
9000.0,129.00180035565143,2516.1931868777287,0.3802106518668065
10000.0,132.66712859486628,2517.6988525893585,0.38649920918009845
11000.0,137.22730316197607,2519.2140015261994,0.393311352275191
12000.0,142.61792431957497,2520.730023150064,0.40061889374228477
13000.0,148.71861061298895,2522.2397077229957,0.4083921664344805
14000.0,155.35533238935076,2523.7349264445047,0.4165999077033535
15000.0,162.30731987689506,2525.2045472470168,0.4252097554041263
16000.0,169.32031822033886,2526.6327789209254,0.4341878444739622
17000.0,176.1256876501039,2527.9983176313253,0.44349976051981194
18000.0,182.4625563350117,2529.274249294838,0.4531108327341084
19000.0,188.0996135812744,2530.4288458630695,0.46298580893800606
20000.0,192.85345174847924,2531.4272790106734,0.4730891633871931
21000.0,196.59983800200683,2532.2340522300638,0.4833855354511351
22000.0,199.2741820086776,2532.8159893057627,0.4938409770407532
23000.0,200.86342820242066,2533.145316700339,0.5044211609878541
24000.0,201.38951777887482,2533.2022669353532,0.5150936092230144
25000.0,200.88882100347462,2532.9770014347664,0.5258259545342564
26000.0,199.39179315528176,2532.4704036574876,0.5365879087937396
27000.0,196.90646232894818,2531.6937175441485,0.5473510741534837
28000.0,193.40839490467147,2530.6669584922993,0.5580882773116652
29000.0,188.83819474505015,2529.416620205154,0.5687738994729354
30000.0,183.10799898626743,2527.972913253211,0.5793853608374564
31000.0,176.11585388138877,2526.367081054743,0.5899024379458809
32000.0,167.7660930123794,2524.6291984430454,0.6003067430756617
33000.0,157.99412331715772,2522.7864824509393,0.6105814432454841
34000.0,146.79316111472727,2520.8623818551296,0.6207142202336472
35000.0,134.2397161945841,2518.876118466503,0.6306942680427998
36000.0,120.51611132199017,2516.842784573144,0.6405135155580387
37000.0,105.92232740782319,2514.773513235192,0.6501676117938201
38000.0,90.87662239339963,2512.675780142831,0.6596530408926705
39000.0,75.90161197294171,2510.5537675082373,0.6689705974794659
40000.0,61.59439676906348,2508.4087236504397,0.6781221151380503
41000.0,48.58228070978268,2506.2394645735367,0.6871134948584089
42000.0,37.46894151904239,2504.042906261911,0.6959516383121107
43000.0,28.778224647299663,2501.8148293700756,0.7046464667976841
44000.0,22.903315207656895,2499.550555080571,0.7132097866675791
45000.0,20.069930662847934,2497.2455394239505,0.7216560504735025
46000.0,20.31965190877065,2494.895722081576,0.7300008752046907
47000.0,23.51745572642788,2492.497547872508,0.738261702588519
48000.0,29.380747009173593,2490.047917192971,0.7464574068980365
49000.0,37.52340478647265,2487.5438990797275,0.7546080865092712
50000.0,47.50670044345779,2484.9825310987767,0.7627357431588399
51000.0,58.885865679726386,2482.360911168307,0.77086279738639
52000.0,71.24315669692278,2479.6765720577255,0.7790128494407481
53000.0,84.20301604829721,2476.928092418576,0.7872100362080893
54000.0,97.42939537719482,2474.1157779878627,0.7954785162687714
55000.0,110.61059249182782,2471.242179517341,0.8038421116510768
56000.0,123.44072882183612,2468.3123207719723,0.8123258738522507
57000.0,135.6061995355233,2465.3336471917733,0.8209541388087289
58000.0,146.78345510364557,2462.315335761269,0.8297505325814811
59000.0,156.65150195718792,2459.2675043619447,0.8387391778400718
60000.0,164.9170505176699,2456.200365534581,0.847942786904091
61000.0,171.344873630315,2453.123462520873,0.8573839800373086
62000.0,175.7867778540264,2450.0450514656036,0.8670831238131282
63000.0,178.2019299491139,2446.9716766712345,0.8770606176244494
64000.0,178.66134996266177,2443.9079248148864,0.8873357085060214
65000.0,177.33746590366104,2440.856319949291,0.8979257898359508
66000.0,174.47971838434748,2437.8173838561834,0.9088470331045291
67000.0,170.3818125075586,2434.78978361674,0.9201143540813096
68000.0,165.3471883376086,2431.7707384270943,0.9317409913827893
69000.0,159.65996077320835,2428.7567935385614,0.9437393230198721
70000.0,153.56516491628742,2425.7445548772034,0.9561190884674247
71000.0,147.25932651528188,2422.7316441939684,0.9688889138984795
72000.0,140.8914428717581,2419.717524693304,0.9820554864603489
73000.0,134.57176394195068,2416.703946730868,0.9956238451321456
74000.0,128.38484001844947,2413.6950707928163,1.0095973665793463
75000.0,122.40369949702949,2410.697109306016,1.0239777870526212
76000.0,116.7018250253667,2407.7174014266875,1.0387652619216041
77000.0,111.36165542020238,2404.7630523568723,1.0539578316283524
78000.0,106.48225846439806,2401.839489092902,1.0695518010197131
79000.0,102.18168522501993,2398.9487702197,1.085542157014857
80000.0,98.59532343572666,2396.0882373750837,1.101922085493061
81000.0,95.87009992228143,2393.249726456365,1.1186832432572051
82000.0,94.15302144305912,2390.4192890419067,1.135815966241897
83000.0,93.57309340364368,2387.5778788976672,1.1533090645267012
84000.0,94.218965217748,2384.7028531474107,1.1711503628598294
85000.0,96.1154665752982,2381.7703822236563,1.189326029362071
86000.0,99.20243574007868,2378.7581959124486,1.2078211734377058
87000.0,103.32205725216795,2375.648538727503,1.226619723958919
88000.0,108.2188551692382,2372.4307446486036,1.2457049558979134
89000.0,113.55482976779602,2369.1029135594727,1.2650592659207083
90000.0,118.93933020731264,2365.6726336467177,1.2846644427490128
