depth,age
666,5614
667,5625
668,5632
669,5644
670,5652
671,5661
672,5670
673,5679
674,5688
675,5697
676,5707
677,5716
678,5725
679,5734
680,5743
681,5751
682,5759
683,5769
684,5778
685,5787
686,5795
687,5805
688,5815
689,5823
690,5832
691,5840
692,5849
693,5857
694,5866
695,5875
696,5883
697,5891
698,5898
699,5908
700,5916
701,5924
702,5934
703,5942
704,5953
705,5963
706,5971
707,5980
708,5990
709,5998
710,6007
711,6015
712,6022
713,6032
714,6042
715,6051
716,6060
717,6067
718,6077
719,6085
720,6093
721,6103
722,6113
723,6123
724,6131
725,6141
726,6151
727,6158
728,6165
729,6173
730,6184
731,6195
732,6204
733,6212
734,6224
735,6231
736,6240
737,6249
738,6258
739,6266
740,6273
741,6282
742,6292
743,6300
744,6309
745,6318
746,6326
747,6336
748,6344
749,6352
750,6359
751,6366
752,6375
753,6385
754,6394
755,6403
756,6412
757,6420
758,6431
759,6439
760,6448
761,6458
762,6467
763,6475
764,6485
765,6495
766,6505
767,6513
768,6523
769,6530
770,6540
771,6550
772,6559
773,6568
774,6576
775,6584
776,6593
777,6603
778,6611
779,6621
780,6630
781,6637
782,6646
783,6656
784,6664
785,6674
786,6683
787,6692
788,6699
789,6709
790,6717
791,6725
792,6734
793,6741
794,6749
795,6758
796,6767
797,6777
798,6784
799,6794
800,6805
801,6814
802,6822
803,6830
804,6841
805,6849
806,6858
807,6867
808,6877
809,6885
810,6893
811,6901
812,6911
813,6918
814,6926
815,6934
816,6943
817,6952
818,6963
819,6972
820,6982
821,6992
822,7001
823,7009
824,7018
825,7027
826,7036
827,7045
828,7054
829,7064
830,7074
831,7082
832,7089
833,7098
834,7106
835,7113
836,7120
837,7129
838,7137
839,7147
840,7157
841,7165
842,7175
843,7185
844,7193
845,7203
846,7210
847,7220
848,7229
849,7237
850,7246
851,7255
852,7265
853,7275
854,7284
855,7293
856,7302
857,7312
858,7319
859,7326
860,7334
861,7344
862,7352
863,7361
864,7368
865,7376
866,7385
867,7396
868,7405
869,7414
870,7423
871,7431
872,7439
873,7449
874,7459
875,7467
876,7476
877,7484
878,7494
879,7502
880,7511
881,7519
882,7529
883,7536
884,7544
885,7553
886,7561
887,7571
888,7580
889,7588
890,7596
891,7604
892,7611
893,7621
894,7631
895,7643
896,7651
897,7659
898,7668
899,7679
900,7690
901,7699
902,7705
903,7713
904,7722
905,7732
906,7741
907,7751
908,7760
909,7769
910,7780
911,7787
912,7794
913,7800
914,7808
915,7816
916,7825
917,7833
918,7842
919,7850
920,7858
921,7867
922,7877
923,7885
924,7892
925,7901
926,7911
927,7920
928,7930
929,7939
930,7948
931,7958
932,7968
933,7977
934,7986
935,7995
936,8003
937,8012
938,8022
939,8032
940,8041
941,8051
942,8059
943,8069
944,8079
945,8090
946,8099
947,8107
948,8117
949,8127
950,8138
951,8147
952,8157
953,8167
954,8178
955,8187
956,8196
957,8208
958,8219
959,8230
960,8242
961,8255
962,8265
963,8275
964,8285
965,8295
966,8302
967,8310
968,8318
969,8327
970,8338
971,8348
972,8358
973,8368
974,8378
975,8390
976,8398
977,8408
978,8419
979,8430
980,8438
981,8447
982,8458
983,8468
984,8478
985,8489
986,8500
987,8509
988,8518
989,8528
990,8538
991,8548
992,8558
993,8568
994,8578
995,8588
996,8599
997,8609
998,8619
999,8628
1000,8640
1001,8650
1002,8662
1003,8671
1004,8680
1005,8690
1006,8700
1007,8710
1008,8720
1009,8731
1010,8739
1011,8752
1012,8761
1013,8772
1014,8782
1015,8792
1016,8802
1017,8812
1018,8821
1019,8832
1020,8843
1021,8854
1022,8864
1023,8874
1024,8885
1025,8896
1026,8906
1027,8917
1028,8928
1029,8938
1030,8948
1031,8961
1032,8969
1033,8978
1034,8989
1035,8999
1036,9010
1037,9020
1038,9033
1039,9043
1040,9054
1041,9066
1042,9077
1043,9087
1044,9098
1045,9109
